번호,측정망,도시,측정지점,지역,측정연도,분기,주간9시,주간12시,주간16시,주간20시,주간평균,야간23시,야간01시,야간평균
66,중앙,서울특별시,현대자동차 동부사업소앞,일반,2023,2,64,66.5,64.2,64.6,65,60.3,55.8,58
67,중앙,서울특별시,현대자동차 동부사업소앞,일반,2023,3,55.143,56.272,57.917,53.4,56,47.434,47.008,47
68,중앙,서울특별시,현대자동차 동부사업소앞,일반,2023,4,63.9,65.3,65.1,62.4,64,59.9,58.4,59
69,중앙,서울특별시,우란문화재단,일반,2023,1,66.3,65.1,64.3,66.2,65,61.5,56.2,59
70,중앙,서울특별시,우란문화재단,일반,2023,2,67.5,66.9,65,66.1,66,64.2,58,61
71,중앙,서울특별시,우란문화재단,일반,2023,3,53.497,57.201,56.615,52.173,55,43.417,42.633,43
72,중앙,서울특별시,우란문화재단,일반,2023,4,65.2,67.1,69.4,65,67,64.1,57.3,61
73,중앙,서울특별시,제일빌딩,도로,2023,1,65.3,65.7,66.4,66.4,66,61.1,57.5,59
74,중앙,서울특별시,제일빌딩,도로,2023,2,66.1,65.9,66.5,65.1,66,64.6,63.7,64
75,중앙,서울특별시,제일빌딩,도로,2023,3,61.586,57.575,60.988,61.681,60,53.839,56.805,55
76,중앙,서울특별시,제일빌딩,도로,2023,4,69.1,68.2,67.8,67.7,68,65.4,61.3,63
77,중앙,서울특별시,대림창고 앞,도로,2023,1,65.6,64.7,64.4,64.4,65,61.4,58.5,60
78,중앙,서울특별시,대림창고 앞,도로,2023,2,66.1,66.8,68.1,65.4,67,68.9,60,64
79,중앙,서울특별시,대림창고 앞,도로,2023,3,59.876,58.479,59.127,57.562,59,52.559,50.406,51
80,중앙,서울특별시,대림창고 앞,도로,2023,4,65.6,66.4,65.5,65.1,66,62,59.1,61
81,중앙,서울특별시,경희약국 앞,일반,2023,1,61,61.9,61.8,60.9,61,60.6,58.2,59
82,중앙,서울특별시,경희약국 앞,일반,2023,2,60.9,61.5,61.3,60.4,61,57.7,54.9,56
83,중앙,서울특별시,경희약국 앞,일반,2023,3,55.408,55.069,58.033,54.957,56,47.232,44.095,46
84,중앙,서울특별시,경희약국 앞,일반,2023,4,59.8,61.6,60.9,60.3,61,59.3,55.1,57
85,중앙,서울특별시,연화사 앞,일반,2023,1,62.9,59.4,57.2,56.5,59,48,47.1,48
86,중앙,서울특별시,연화사 앞,일반,2023,2,56,55.9,54.1,54.8,55,48.7,49.1,49
87,중앙,서울특별시,연화사 앞,일반,2023,3,61.593,58.223,58.372,55.61,58,48.808,44.402,47
88,중앙,서울특별시,연화사 앞,일반,2023,4,60.8,58.9,62.6,51.4,58,50.2,49.3,50
89,중앙,서울특별시,로이드 앞,도로,2023,1,68,69.1,69,68.9,69,66.8,64.9,66
90,중앙,서울특별시,로이드 앞,도로,2023,2,76.7,79.8,70.8,68.6,74,65.5,62.5,64
91,중앙,서울특별시,로이드 앞,도로,2023,3,60.628,57.353,55.355,50.535,56,47.455,48.351,48
92,중앙,서울특별시,로이드 앞,도로,2023,4,69.7,71.9,74.4,69.7,71,67.9,64.8,66
93,중앙,서울특별시,경희대정문 옆,도로,2023,1,63.8,65,65.1,65.4,65,59.4,57.3,58
94,중앙,서울특별시,경희대정문 옆,도로,2023,2,64.7,66.5,65.5,65.6,66,59,56.5,58
95,중앙,서울특별시,경희대정문 옆,도로,2023,3,62.6,64.179,63.95,64.401,64,59.564,52.766,56
96,중앙,서울특별시,경희대정문 옆,도로,2023,4,66.1,67.6,66.6,64.4,66,60.3,56.9,59
97,중앙,서울특별시,경희아트빌라,일반,2023,1,55.3,51.4,51.9,52.3,53,48.1,44.3,46
98,중앙,서울특별시,경희아트빌라,일반,2023,2,58.7,58.2,61,59.7,59,52.2,51.7,52
99,중앙,서울특별시,경희아트빌라,일반,2023,3,76.933,81.041,79.026,80.318,79,48.674,45.329,47
100,중앙,서울특별시,경희아트빌라,일반,2023,4,50.6,56.9,50.8,52.6,53,47.6,43.8,46
101,중앙,서울특별시,스웨덴대사관 앞,일반,2023,1,51.8,53,52,52.3,52,41.7,43.4,43
102,중앙,서울특별시,스웨덴대사관 앞,일반,2023,2,53.2,52.5,51.6,51.1,52,48.3,42,45
103,중앙,서울특별시,스웨덴대사관 앞,일반,2023,3,58.412,58.815,57.285,59.142,58,49.462,47.07,48
104,중앙,서울특별시,스웨덴대사관 앞,일반,2023,4,51.1,53.9,52.4,49.4,52,46.6,47.6,47
105,중앙,서울특별시,호주대사관저 앞,일반,2023,1,51.1,55,61.9,52.9,55,49.6,49.7,50
106,중앙,서울특별시,호주대사관저 앞,일반,2023,2,50.2,54.4,49.7,53,52,43.6,43,43
107,중앙,서울특별시,호주대사관저 앞,일반,2023,3,63.958,61.886,60.224,59.311,61,42.69,49.011,46
108,중앙,서울특별시,호주대사관저 앞,일반,2023,4,52.6,46.2,49.5,48.9,49,46.8,42,44
109,중앙,서울특별시,제일퍼크로크리닝 앞,일반,2023,1,58.9,60.4,57.4,58.2,59,55.3,49.4,52
110,중앙,서울특별시,제일퍼크로크리닝 앞,일반,2023,2,57.9,57.6,56.8,56.4,57,51.8,52.4,52
111,중앙,서울특별시,제일퍼크로크리닝 앞,일반,2023,3,63.694,62.278,61.421,59.871,62,45.614,44.464,45
112,중앙,서울특별시,제일퍼크로크리닝 앞,일반,2023,4,57.8,61.2,58.4,57,59,51.4,46.1,49
113,중앙,서울특별시,쌍다리기사식당 앞,도로,2023,1,66,65.8,65.4,65.6,66,63.1,57.2,60
114,중앙,서울특별시,쌍다리기사식당 앞,도로,2023,2,67.8,65.6,65.2,65.3,66,62.2,54.3,58
115,중앙,서울특별시,쌍다리기사식당 앞,도로,2023,3,69.06,67.279,66.52,65.459,67,53.978,51.979,53
116,중앙,서울특별시,쌍다리기사식당 앞,도로,2023,4,67.5,67.3,66.7,65.5,67,63.6,53.2,58
117,중앙,서울특별시,작은갤러리,도로,2023,1,63.7,63,61.9,62.5,63,62.1,55.7,59
118,중앙,서울특별시,작은갤러리,도로,2023,2,63.8,62.6,62.7,62.6,63,61.9,52.2,57
119,중앙,서울특별시,작은갤러리,도로,2023,3,71.396,70.779,73.018,69.284,71,58.222,56.333,57
120,중앙,서울특별시,작은갤러리,도로,2023,4,61.2,61.6,61.8,60.7,61,58.8,49.7,54
121,중앙,서울특별시,농협 맞은편,일반,2023,1,63,65.5,67.7,64.4,65,62,60.8,61
122,중앙,서울특별시,농협 맞은편,일반,2023,2,64.5,64,63.1,62.4,64,60.9,58.8,60
123,중앙,서울특별시,농협 맞은편,일반,2023,3,58.868,54.434,58.133,53.77,56,45.36,42.254,44
124,중앙,서울특별시,농협 맞은편,일반,2023,4,66.3,65,65.1,63.2,65,61.1,56.9,59
125,중앙,서울특별시,종암교회 앞,일반,2023,1,57.2,58.2,58.6,57.7,58,56.7,56.9,57
126,중앙,서울특별시,종암교회 앞,일반,2023,2,55.7,58.7,57.5,57.8,57,53.5,50,52
127,중앙,서울특별시,종암교회 앞,일반,2023,3,55.097,51.914,54.153,50.321,53,47.085,43.608,45
128,중앙,서울특별시,종암교회 앞,일반,2023,4,59.6,58.2,61.9,58.7,60,56.1,52.3,54
129,중앙,서울특별시,버거킹,도로,2023,1,74.6,74.7,73.8,74.3,74,71.4,69.7,71
130,중앙,서울특별시,버거킹,도로,2023,2,73.1,75.7,72.5,73.9,74,69.2,67.8,69
131,중앙,서울특별시,버거킹,도로,2023,3,65.54,68.469,65.373,67.247,67,55.339,51.306,53
132,중앙,서울특별시,버거킹,도로,2023,4,76.8,75.2,75.3,74.9,76,72.1,72.8,72
133,중앙,서울특별시,무판안경,도로,2023,1,73.1,74.4,72.5,74.5,74,71.3,69.1,70
134,중앙,서울특별시,무판안경,도로,2023,2,73,73.3,73.3,71.6,73,69,68.2,69
135,중앙,서울특별시,무판안경,도로,2023,3,69.814,69.165,68.942,66.552,69,59.896,56.691,58
136,중앙,서울특별시,무판안경,도로,2023,4,75.1,74.7,75.8,75,75,74.2,68.8,72
137,중앙,서울특별시,다이소 종암점 건너편,일반,2023,1,66.2,66.5,65.1,64.2,66,63.6,62.9,63
138,중앙,서울특별시,다이소 종암점 건너편,일반,2023,2,65.8,67.9,63.7,67.8,66,63.7,60.7,62
139,중앙,서울특별시,다이소 종암점 건너편,일반,2023,3,58.931,59.206,58.754,58.112,59,53.817,50.673,52
140,중앙,서울특별시,다이소 종암점 건너편,일반,2023,4,67.3,67.7,67.6,68.1,68,64.4,61.7,63
141,중앙,서울특별시,왕의장어,일반,2023,1,56.3,58.3,58,57.7,58,46.7,42.6,45
142,중앙,서울특별시,왕의장어,일반,2023,2,58.8,57.7,57.8,64.4,60,51.7,47.4,50
143,중앙,서울특별시,왕의장어,일반,2023,3,62.477,63.845,62.409,63.25,63,58.236,56.472,57
144,중앙,서울특별시,왕의장어,일반,2023,4,54.9,58,58,59.8,58,47.2,40.2,44
145,중앙,서울특별시,한일교,일반,2023,1,61.3,60.8,61.2,60.7,61,58,57.7,58
146,중앙,서울특별시,한일교,일반,2023,2,59.9,59.8,59.6,60.2,60,55.5,54.4,55
147,중앙,서울특별시,한일교,일반,2023,3,61.413,60.57,60.869,62.221,61,57.513,52.437,55
148,중앙,서울특별시,한일교,일반,2023,4,55.8,58.3,59.1,57.7,58,49.1,51.8,50
149,중앙,서울특별시,온누리약국,도로,2023,1,71.8,68.3,69.9,68.4,70,67.6,65.2,66
150,중앙,서울특별시,온누리약국,도로,2023,2,68.3,67.5,67.1,67.5,68,65.8,61,63
151,중앙,서울특별시,온누리약국,도로,2023,3,58.39,59.897,60.587,57.621,59,49.83,48.111,49
152,중앙,서울특별시,온누리약국,도로,2023,4,71.5,70.7,68.8,69,70,66.9,57.4,62
153,중앙,서울특별시,그린파크 앞,도로,2023,1,61.9,61.6,61.6,62.8,62,60.3,58.4,59
154,중앙,서울특별시,그린파크 앞,도로,2023,2,61.4,61.2,61.4,61.4,61,61,55.8,58
155,중앙,서울특별시,그린파크 앞,도로,2023,3,59.96,58.96,60.21,58.156,59,54.389,52.716,54
156,중앙,서울특별시,그린파크 앞,도로,2023,4,64.7,61.9,61.9,61.4,62,59.5,47.6,54
157,중앙,서울특별시,젊은느티나무,일반,2023,1,56.6,57.7,58.5,57.2,58,46.1,41,44
158,중앙,서울특별시,젊은느티나무,일반,2023,2,56.3,55.8,56.2,56.5,56,47.5,44.1,46
159,중앙,서울특별시,젊은느티나무,일반,2023,3,75.636,75.528,73.826,68.37,73,53.199,52.98,53
160,중앙,서울특별시,젊은느티나무,일반,2023,4,53.9,57.2,57.6,55.8,56,46.4,50.5,48
161,중앙,서울특별시,영산어린이집 앞,일반,2023,1,56.6,55.5,56.3,54.3,56,51.1,49.1,50
162,중앙,서울특별시,영산어린이집 앞,일반,2023,2,56.4,58.5,55.4,54.6,56,50.6,45.9,48
163,중앙,서울특별시,영산어린이집 앞,일반,2023,3,62.467,59.976,57.598,56.015,59,48.415,44.895,47
164,중앙,서울특별시,영산어린이집 앞,일반,2023,4,59.3,59.5,60.3,54.3,58,50.8,52.9,52
165,중앙,서울특별시,한창주택 앞,일반,2023,1,51.3,58.5,50,50.3,53,48.7,47,48
166,중앙,서울특별시,한창주택 앞,일반,2023,2,59.5,59.4,54.6,53.4,57,48.3,49.4,49
167,중앙,서울특별시,한창주택 앞,일반,2023,3,60.469,62.629,58.899,61.103,61,51.796,54.332,53
168,중앙,서울특별시,한창주택 앞,일반,2023,4,52.1,53.8,59,52.9,54,49.9,47.3,49
169,중앙,서울특별시,불광초교후문 앞,일반,2023,1,56.5,53.4,53.2,54.2,54,47.2,48.4,48
170,중앙,서울특별시,불광초교후문 앞,일반,2023,2,57.5,56.9,54.9,53.7,56,51.3,46.3,49
171,중앙,서울특별시,불광초교후문 앞,일반,2023,3,72.99,72.663,68.062,68.188,70,51.278,49.315,50
172,중앙,서울특별시,불광초교후문 앞,일반,2023,4,67.3,61.7,58.1,58.4,61,46.1,54.5,50
